,Count,Time/Cells/Single Cells/Live | Count,Time/Cells/Single Cells/Live/CD45+ | Count,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)*** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim) | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright) | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)*** | Count","Time/Cells/Single Cells/Live/CD45+/CD45low, CD16+ (Neutrophils) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141- CD1c+ (cDC2s) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141+, CD1c- (cDC1s) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141-, CD1c- (DN cDCs) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+ | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes) | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes) | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes) | Count",
2022-08-17_SAC253053 Day 0.fcs,5.00E5,239206,231355,140550,22162,17455,779,11094,0,1711,689,2840,2002,66.0,757,39243,32812,1294,5137,
2022-08-19_SAC253053 Day 2.fcs,5.00E5,193723,187875,112700,18350,15356,560,10269,0,1518,637,2226,1715,102,399,35715,29762,1288,4665,
2022-08-17_Tasso ID 2 Tasso Ack Lysed WB Day 0.fcs,4.36E5,318324,314202,110422,18745,17518,287,9507,156849,367,273,665,582,23.0,60.0,15257,10517,2879,1861,
2022-08-17_Tasso ID 2 Vein Ack Lysed WB Day 0.fcs,5.00E5,251354,247353,80787,14071,12996,196,6001,127657,554,283,652,565,25.0,58.0,15571,12756,1511,1304,
2022-08-19_Tasso ID 2 Tasso Ack Lysed WB Day 2.fcs,313052,108510,105426,58541,8737,7750,103,6057,20324,206,134,362,179,5.00,176,6940,4231,1570,1139,
2022-08-17_Tasso ID 2 Vein PBMC Day 0.fcs,6.53E5,169866,165085,115850,20705,19242,346,6311,0,377,290,629,588,7.00,32.0,16685,13499,2325,861,
