,$DATE,Donor,Group,
2022-08-17_SAC253053 Day 0.fcs,22-AUG-2022,SAC253053,Control,
2022-08-17_Tasso ID 2 Tasso Ack Lysed WB Day 0.fcs,22-AUG-2022,Tasso ID 02,Tasso WB,
2022-08-17_Tasso ID 2 Vein Ack Lysed WB Day 0.fcs,22-AUG-2022,Tasso ID 02,Vein WB,
2022-08-17_Tasso ID 2 Vein PBMC Day 0.fcs,22-AUG-2022,Tasso ID 02,Vein PBMC,
2022-08-19_SAC253053 Day 2.fcs,22-AUG-2022,SAC253053,Control,
2022-08-19_Tasso ID 2 Tasso Ack Lysed WB Day 2.fcs,22-AUG-2022,Tasso ID 02,Tasso WB Shipped,
