,$DATE,Donor,Group,
2022-08-26_SAC253053.fcs,29-AUG-2022,SAC253053,Control,
2022-08-26_Tasso ID 2 Tasso Ack Lysed WB D0 Frozen.fcs,29-AUG-2022,Tasso ID 02,Tasso WB,
2022-08-26_Tasso ID 2 Tasso Ack Lysed WB D2 Frozen.fcs,29-AUG-2022,Tasso ID 02,Tasso WB Shipped,
2022-08-26_Tasso ID 2 Vein PBMC D0 Frozen.fcs,29-AUG-2022,Tasso ID 02,Vein PBMC,
2022-08-26_Tasso ID 2 Vein Ack Lysed WB D0 Frozen.fcs,29-AUG-2022,Tasso ID 02,Vein WB,
