,Count,Time/Cells/Single Cells/Live | Count,Time/Cells/Single Cells/Live/CD45+ | Count,"Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total) | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total) | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) *** | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+ | Count","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8- | Count",
2022-10-27_SAC253053.fcs,5.00E5,224471,95653,10472,73006,2904,67.0,389,124,2324,2837,1166,2.00,72.0,22.0,1070,1164,2138,176,40.0,851,1071,1962,41401,8041,164,22825,10371,33360,23152,7082,1421,6141,8508,16070,1795,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,7308,4473,4409,443,3625,516,16.0,208,13.0,279,500,151,1.00,4.00,9.00,137,150,91.0,27.0,4.00,34.0,26.0,64.0,1948,1435,24.0,375,114,513,809,589,81.0,9.00,130,220,42.0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,15344,5874,5372,911,3811,71.0,6.00,29.0,8.00,28.0,65.0,81.0,0,10.0,6.00,65.0,81.0,101,29.0,9.00,24.0,39.0,72.0,2253,1185,52.0,619,397,1068,1212,774,223,39.0,176,438,59.0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,16942,8508,8056,784,5572,279,36.0,115,15.0,113,243,128,2.00,54.0,4.00,68.0,126,105,51.0,6.00,22.0,26.0,54.0,3411,2423,35.0,719,234,988,1363,1142,126,21.0,74.0,221,55.0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,14562,3169,2918,182,2188,119,7.00,28.0,8.00,76.0,112,116,1.00,1.00,8.00,106,115,42.0,2.00,1.00,8.00,31.0,40.0,1304,382,48.0,406,468,922,528,319,42.0,39.0,128,209,57.0,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,26078,15131,14874,3095,10646,321,125,181,1.00,14.0,196,144,18.0,117,1.00,8.00,126,346,242,45.0,13.0,46.0,104,6353,5452,342,297,262,901,3108,2559,455,40.0,54.0,549,145,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,26460,7111,6739,977,5080,147,12.0,47.0,18.0,70.0,135,96.0,0,10.0,6.00,80.0,96.0,108,25.0,7.00,25.0,51.0,83.0,3292,1883,76.0,946,387,1409,1277,1078,63.0,24.0,112,199,31.0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,6111,3361,3320,277,2704,37.0,6.00,17.0,5.00,9.00,31.0,26.0,0,3.00,4.00,19.0,26.0,74.0,33.0,8.00,12.0,21.0,41.0,1481,819,23.0,461,178,662,1000,554,302,36.0,108,446,19.0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,10711,3550,3312,198,2508,76.0,12.0,35.0,7.00,22.0,64.0,125,0,17.0,24.0,84.0,125,92.0,37.0,3.00,28.0,24.0,55.0,1593,871,33.0,443,246,722,493,330,64.0,26.0,73.0,163,67.0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,27111,12842,11977,1611,9220,1838,41.0,570,80.0,1147,1797,695,1.00,8.00,44.0,642,694,216,89.0,14.0,63.0,50.0,127,4416,3003,33.0,1125,255,1413,1852,1229,230,46.0,347,623,154,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,77172,13986,13078,454,12064,153,42.0,41.0,14.0,56.0,111,135,0,15.0,7.00,113,135,281,93.0,18.0,82.0,88.0,188,7268,3371,111,2454,1332,3897,4045,3126,315,272,332,919,90.0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,30245,10715,10170,2140,5766,306,26.0,123,20.0,137,280,138,2.00,47.0,4.00,85.0,136,91.0,39.0,9.00,20.0,23.0,52.0,3498,2353,83.0,701,361,1145,1481,1215,137,40.0,89.0,266,63.0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,10140,2825,2744,198,2069,121,8.00,49.0,10.0,54.0,113,115,0,3.00,13.0,99.0,115,45.0,9.00,3.00,13.0,20.0,36.0,1066,425,22.0,381,238,641,617,378,48.0,31.0,160,239,66.0,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,54496,29627,29187,6347,21402,546,222,316,2.00,6.00,324,254,14.0,233,2.00,5.00,240,740,493,153,27.0,67.0,247,12808,11185,785,404,434,1623,6500,5785,642,20.0,53.0,715,350,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,70196,27360,26066,3450,18949,787,49.0,189,51.0,498,738,731,5.00,37.0,22.0,667,726,543,108,25.0,189,221,435,11490,5663,123,4078,1626,5827,5042,3853,216,260,713,1189,177,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,13772,6695,6580,808,5244,57.0,14.0,23.0,2.00,18.0,43.0,96.0,0,4.00,8.00,84.0,96.0,137,63.0,9.00,28.0,37.0,74.0,3107,1583,48.0,1075,401,1524,1735,1200,285,64.0,186,535,43.0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,5637,2547,2375,190,1825,65.0,17.0,42.0,0,6.00,48.0,180,2.00,54.0,10.0,114,178,90.0,39.0,2.00,29.0,20.0,51.0,956,581,9.00,252,114,375,429,304,60.0,24.0,41.0,125,34.0,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,165503,112630,112168,4784,98315,21849,191,2997,219,18442,21658,8920,2.00,24.0,97.0,8797,8918,2455,500,87.0,994,874,1955,43008,21468,227,17309,4004,21540,20562,12073,1635,900,5954,8489,1185,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,194769,112269,109341,7126,88655,3578,180,751,152,2495,3398,3365,6.00,121,41.0,3197,3359,2447,311,132,982,1022,2136,47043,12142,831,19835,14235,34901,30283,11620,6605,2327,9731,18663,1138,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,211124,103139,101856,7215,82056,4661,357,1667,107,2530,4304,2232,7.00,483,18.0,1724,2225,2490,712,48.0,901,829,1778,50217,28048,187,16439,5543,22169,18097,13468,1907,739,1983,4629,626,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,100412,51964,51553,1581,42092,2503,133,493,132,1745,2370,3213,3.00,32.0,218,2960,3210,1309,147,24.0,566,572,1162,23518,8816,113,9594,4995,14702,10606,6852,405,603,2746,3754,671,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,120306,75850,74732,5983,60798,2785,584,2111,12.0,78.0,2201,1483,17.0,1390,3.00,73.0,1466,2060,1071,284,252,453,989,34911,27329,2321,2767,2494,7582,18457,12236,5380,148,693,6221,724,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,244253,93524,89683,6049,66926,4436,135,954,177,3170,4301,2840,3.00,93.0,38.0,2706,2837,2206,294,43.0,950,919,1912,40455,16667,190,16446,7152,23788,16163,11048,905,785,3425,5115,567,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,46324,28506,28300,722,24882,387,41.0,137,20.0,189,346,545,1.00,11.0,21.0,512,544,588,198,28.0,208,154,390,13883,6273,83.0,5435,2092,7610,9016,3933,3003,398,1682,5083,193,
