,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd+ (TCRgd T cells Total) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,62.5,6.75,25.2,30.1,1.27,1.52,0.10,33.7,0.62,19.8,0,63.6,16.7,0.52,0.10,0.10,3.17,1.72,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,81.4,5.04,67.8,68.6,2.52,0,0.58,34.9,1.16,48.3,0,78.5,13.2,0.58,1.36,0.19,1.36,26.7,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,35.2,8.45,54.9,73.2,1.41,1.41,0,53.5,2.82,47.9,0,36.6,15.5,0,0,0,1.41,23.9,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,23.7,0.36,60.6,88.5,3.23,0.72,0,64.2,1.08,69.5,0,17.2,2.87,1.08,0.36,0,2.15,9.68,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,12.6,0.84,38.7,27.7,10.1,1.68,0,38.7,0.84,38.7,0,53.8,5.88,0,0.84,0,5.04,10.9,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,37.7,11.2,67.3,65.1,3.43,0.31,0.62,22.1,1.87,24.6,0.62,39.3,15.3,0,0.93,0,5.30,16.8,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,34.0,3.40,57.1,78.2,9.52,0.68,0,36.1,1.36,42.9,0,52.4,10.2,1.36,0,0,2.04,21.8,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,40.5,13.5,54.1,73.0,8.11,0,0,27.0,0,18.9,0,54.1,24.3,0,8.11,0,16.2,27.0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,46.1,3.95,42.1,73.7,2.63,0,1.32,40.8,1.32,23.7,0,53.9,3.95,1.32,1.32,0,1.32,23.7,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,42.0,1.03,46.5,34.0,1.52,5.28,0.11,20.3,0.71,31.9,0.11,75.6,9.58,0.22,0.49,0,0.49,6.04,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,9.80,1.96,73.2,56.2,0,24.8,0,48.4,7.84,34.6,0.65,9.15,5.23,0,0,0,0.65,9.80,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,19.0,0.65,52.3,86.6,1.96,0.33,0,54.9,1.31,69.9,0.33,11.1,2.61,0,0,0,3.92,8.82,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,23.1,0.83,39.7,53.7,6.61,9.09,0,25.6,1.65,48.8,0,64.5,9.09,0,2.48,0,3.31,20.7,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,19.8,5.86,71.2,61.2,6.04,5.68,0,12.6,2.20,13.4,0.55,26.0,12.5,0.55,0.18,0.18,3.48,8.61,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,34.7,1.14,62.1,57.3,6.73,5.59,0.13,18.3,1.52,46.1,0.25,52.2,13.6,0.25,0.89,0.51,3.43,10.9,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,21.1,7.02,59.6,64.9,7.02,15.8,0,19.3,1.75,33.3,1.75,22.8,15.8,0,3.51,0,7.02,10.5,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,70.8,12.3,49.2,86.2,0,6.15,0,27.7,3.08,10.8,0,56.9,3.08,0,0,0,1.54,47.7,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,75.9,3.58,69.8,37.7,2.41,0.29,0.037,37.8,0.49,54.7,0.027,84.3,12.4,0.38,0.64,0.050,0.64,3.49,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,24.1,7.38,73.2,62.4,1.76,3.75,0.36,73.6,1.34,63.3,0.028,30.0,20.8,0.67,0.56,0,1.90,10.9,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,38.6,1.48,70.7,77.9,1.48,1.01,0.11,79.0,0.75,74.5,0.086,20.1,3.22,0.43,0.30,0,4.36,4.03,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,65.2,7.71,65.6,46.7,11.3,6.63,0.20,61.8,0.96,68.5,0.080,68.0,11.8,1.52,2.92,0.040,7.03,8.35,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,38.7,11.5,51.6,45.2,6.97,2.59,0.072,19.5,3.05,39.8,0.29,65.1,28.3,0.83,0.50,0.072,4.13,18.0,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,66.2,4.78,72.2,56.2,9.56,1.40,0.20,52.1,0.68,63.9,0.023,70.9,18.1,1.04,0.68,0.068,5.75,4.89,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,32.8,4.65,47.3,53.2,11.6,15.2,0,41.9,0.78,43.2,0,49.6,14.5,1.81,5.17,0,5.17,15.0,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,57.4,9.38,51.2,47.2,1.78,1.06,0.096,42.4,1.11,33.2,0.096,73.2,4.67,0.67,0.87,0.096,1.54,7.70,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,65.4,3.59,59.7,37.6,3.28,2.19,0.12,62.9,0.56,70.0,0.068,65.0,4.64,1.04,0.28,0.023,7.90,4.36,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,25.2,1.82,23.5,40.0,2.25,0,0,17.4,0.64,36.2,0.11,78.8,9.32,0.11,0.96,0.11,0.32,6.97,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,17.2,2.40,34.0,60.4,0.80,3.20,0.40,58.8,0.40,40.0,0.40,25.2,11.6,2.40,0.80,0,1.20,8.80,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,19.0,0.43,58.2,84.1,3.88,0.43,0,72.8,0.43,64.7,0,17.2,2.16,0.86,0,0,3.02,9.05,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,4.53,3.24,18.1,33.3,4.53,0.32,0,35.6,0.97,47.9,0,59.9,4.21,0.32,2.59,0,4.53,6.15,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,21.9,8.33,56.6,58.7,6.25,0.35,0,17.4,2.08,26.7,0,44.8,16.0,0.35,2.43,0,2.08,15.6,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,32.0,2.06,51.2,65.6,6.53,0.69,0,42.6,3.09,52.2,0,65.3,14.8,0.34,1.37,0,2.75,16.8,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,8.91,2.01,27.6,35.1,8.33,4.60,0.29,21.6,2.01,25.9,0.29,49.4,8.91,1.15,3.74,0.29,4.31,8.33,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,21.5,4.62,27.7,72.3,3.08,1.54,0,26.2,3.08,20.0,0,60.0,3.08,0,0,0,0,30.8,
