,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,42.7,3.66,88.4,76.8,21.3,0.61,0.61,13.4,0,2.44,0,7.93,9.15,3.66,1.22,0,1.22,13.4,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,58.3,4.17,100,91.7,29.2,0,0,0,0,0,0,0,0,0,0,0,0,4.17,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,53.8,5.77,48.1,78.8,5.77,0,0,15.4,0,3.85,0,50.0,3.85,5.77,0,0,3.85,25.0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,54.3,5.71,80.0,97.1,22.9,0,0,28.6,0,5.71,0,0,2.86,0,0,0,0,20.0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,14.6,0,100,81.2,33.3,0,0,12.5,0,0,0,0,0,2.08,0,0,2.08,8.33,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,63.7,14.0,59.9,93.3,9.06,0,2.05,47.1,0.29,10.2,0.29,17.0,22.2,13.5,1.46,1.17,10.8,19.3,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,59.2,7.89,96.1,98.7,21.1,1.32,2.63,31.6,1.32,0,0,0,1.32,2.63,0,1.32,1.32,22.4,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,43.5,0,95.7,95.7,26.1,0,0,21.7,0,0,0,0,4.35,4.35,0,0,0,13.0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,45.5,6.06,100,93.9,27.3,0,0,12.1,0,0,0,0,0,0,0,0,0,24.2,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,45.5,6.06,97.0,81.8,15.2,0,0,18.2,0,0,0,3.03,0,12.1,3.03,0,0,12.1,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,20.7,3.60,55.0,56.8,1.80,1.80,0.90,9.91,2.70,0,0,40.5,7.21,1.80,0,0,0.90,19.8,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,45.8,1.20,80.7,95.2,27.7,0,0,13.3,0,2.41,0,0,1.20,1.20,1.20,0,0,12.0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,18.2,0,100,90.9,13.6,0,0,9.09,0,0,0,0,0,0,0,0,0,13.6,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,65.2,14.0,63.7,95.3,6.88,1.91,1.40,45.0,0.38,8.03,0,6.88,21.4,10.1,0.76,1.02,9.30,16.6,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,59.3,2.44,96.7,93.5,19.5,0,0,16.3,0,0,0,0,0.81,3.25,0,0,1.63,13.0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,72.9,4.17,97.9,95.8,45.8,2.08,0,20.8,2.08,4.17,0,0,6.25,10.4,2.08,0,0,20.8,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,77.8,22.2,66.7,100,0,0,0,55.6,0,11.1,0,11.1,0,0,0,0,0,44.4,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,63.4,2.20,98.2,89.0,39.6,0,0.44,15.9,0.44,0.44,0,0.88,5.73,7.05,3.96,0,0,16.3,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,46.7,4.21,23.3,27.4,6.02,0.24,0.48,26.7,0.48,4.45,0,79.7,19.0,7.82,0.48,0,2.65,17.0,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,58.3,6.42,87.7,98.4,27.3,0,2.67,47.6,0,12.8,0,1.60,5.35,3.21,2.14,0,2.67,21.9,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,51.3,8.85,94.7,92.9,34.5,0,3.54,25.7,0,2.65,0,0,2.65,7.08,0.88,0.88,3.54,20.4,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,80.4,19.3,52.7,86.0,5.69,0.69,2.54,60.4,0.65,14.6,0.26,23.4,24.7,15.5,0.52,0.82,15.8,10.9,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,80.5,4.74,95.3,97.4,25.3,0.53,1.05,45.3,0,0,0,2.11,3.68,7.37,1.05,0.53,7.37,14.7,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,71.1,4.82,97.6,89.2,39.8,0,0,21.7,0,1.20,0,2.41,4.82,12.0,2.41,0,3.61,18.1,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,72.3,10.6,75.5,96.8,22.3,1.06,3.19,46.8,0,3.19,0,9.57,7.45,5.32,1.06,0,4.26,27.7,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,34.9,5.50,98.2,94.5,45.0,0,0,21.1,0,0.92,0,0.92,6.42,10.1,1.83,0,0.92,19.3,
