,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,25.7,3.26,64.0,64.6,2.00,1.53,8.53,47.1,1.16,7.96,0,29.4,27.8,3.88,0.035,0,18.9,3.02,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,24.6,0,86.2,77.7,9.23,0.77,4.62,45.4,3.08,44.6,0,43.8,20.8,5.38,1.54,0,12.3,13.8,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,34.7,2.27,67.0,70.5,4.55,1.14,28.4,54.5,2.27,14.2,0,28.4,31.8,3.41,0,0,11.9,21.6,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,21.6,0,75.7,71.6,5.41,1.35,6.76,48.6,2.70,24.3,0,20.3,8.11,5.41,1.35,0,25.7,16.2,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,5.47,0,57.8,58.6,7.03,1.56,8.59,52.3,0.78,35.2,0,22.7,3.91,2.34,0.78,0,14.8,10.2,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,18.5,1.85,53.7,50.0,7.41,1.85,9.26,7.41,3.70,7.41,0,63.0,50.0,13.0,0,0,33.3,11.1,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,25.9,0.89,72.3,85.7,1.79,0,15.2,46.4,3.57,20.5,0,32.1,8.93,0.89,0.89,0,24.1,17.9,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,46.3,2.78,63.0,78.7,13.0,4.63,3.70,47.2,3.70,9.26,0.93,52.8,30.6,6.48,4.63,0,10.2,13.0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,17.8,1.37,57.5,86.3,8.22,2.74,8.22,32.9,0,17.8,0,31.5,27.4,2.74,1.37,0,9.59,23.3,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,12.7,0,77.8,55.0,2.88,2.59,3.17,32.6,0,31.7,0,51.6,21.0,1.73,0.29,0,3.75,7.20,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,25.6,2.11,72.3,56.0,0.60,9.64,42.2,62.3,2.41,16.3,0,13.3,9.64,1.51,0.30,0,5.42,15.4,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,16.9,2.25,71.9,83.1,2.25,1.12,6.74,52.8,4.49,31.5,0,13.5,3.37,2.25,0,0,16.9,16.9,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,6.25,0,66.2,80.6,3.12,5.62,5.62,42.5,3.75,30.0,0,23.8,9.38,1.88,0,0,21.9,11.9,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,22.6,0,60.4,58.5,7.55,0,11.3,7.55,0,5.66,0,41.5,52.8,13.2,3.77,0,30.2,3.77,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,15.7,0.42,72.9,67.0,2.24,3.09,14.3,37.0,3.09,21.6,0,31.1,8.42,1.26,0,0.14,24.5,7.71,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,25.8,0.54,59.1,76.9,5.91,3.76,6.99,32.8,2.69,14.0,0,33.3,16.7,3.23,2.15,0,4.84,9.14,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,29.3,7.32,68.3,92.7,2.44,14.6,4.88,31.7,9.76,22.0,0,29.3,26.8,9.76,0,0,0,24.4,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,19.1,1.24,91.2,69.7,4.59,1.93,2.89,58.9,1.65,50.5,0.017,32.9,19.4,4.06,0.57,0,8.97,5.54,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,32.0,4.13,70.4,48.5,4.11,1.43,19.2,56.5,4.32,16.2,0.021,42.7,31.2,6.11,0.29,0.010,14.1,13.8,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,24.8,1.41,87.9,68.4,2.62,1.41,9.23,66.4,2.72,31.4,0,17.1,9.13,3.98,0.15,0,24.3,13.3,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,15.4,2.18,88.7,84.0,4.55,14.2,7.47,75.1,2.37,50.1,0.036,18.2,8.27,3.57,1.24,0,24.9,5.68,
