,"Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/CD27+, CD38+ (Plasmablast) *** | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/CD27+, CD38- (Mem_Act B cells) *** | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/CD27-, CD38lo_neg (Niave B cells) *** | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,0.057,12.8,86.2,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,1.13,19.6,77.0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,0.12,15.5,82.4,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,1.17,30.4,66.6,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,0.25,11.2,87.3,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,0.44,19.2,78.7,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,0,23.3,74.7,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,1.02,35.3,62.2,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,0.11,12.3,86.2,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,0.64,9.57,88.5,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,0,10.2,88.7,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,0.72,20.0,77.5,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,0.16,12.4,85.7,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,0.55,8.79,89.6,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,0,9.60,89.9,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,0.51,30.4,68.1,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,0.46,26.4,71.8,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,0,4.80,94.5,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,0.42,11.5,86.3,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,0.016,10.7,87.9,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,1.04,18.1,79.1,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,0.31,8.95,89.8,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,0.51,14.8,83.7,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,0.087,15.2,83.6,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,0.81,25.5,71.9,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,0.23,13.0,85.3,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,0,6.14,93.5,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,0.12,6.31,91.7,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,1.80,15.1,82.1,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,0.094,3.95,95.1,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,1.01,22.2,75.8,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,0,28.4,69.5,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,2.24,42.7,53.3,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,0,9.92,90.1,
