,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+/Phen Sirpa+ | Freq. of Parent (%)",
2022-08-26_SAC253053.fcs,0.054,0.18,89.1,16.7,89.7,86.3,0.80,23.4,0.13,93.6,97.0,61.2,28.9,84.0,0.062,0.61,49.1,
2022-08-26_Tasso ID 2 Tasso Ack Lysed WB Day 0 Frozen.fcs,3.24,3.97,47.1,59.4,65.4,59.1,13.5,53.1,6.49,95.4,69.7,32.6,49.3,75.4,0.081,3.41,35.6,
2022-08-26_Tasso ID 2 Tasso Ack Lysed WB Day 2 Frozen.fcs,10.0,3.16,77.3,28.2,79.0,80.8,41.7,64.9,20.0,96.6,79.2,58.0,72.8,76.5,0.18,4.69,62.6,
2022-08-26_Tasso ID 2 Vein Ack Lysed WB Day 0 Frozen.fcs,1.96,0.18,89.6,19.1,84.3,90.0,5.47,79.8,3.64,96.1,95.1,74.2,53.3,96.0,0.058,0.71,86.5,
2022-08-26_Tasso ID 2 Vein PBMC Day 0 Frozen.fcs,1.10,0.82,44.6,60.2,76.8,55.7,8.79,74.8,1.57,89.6,85.3,31.4,30.7,90.5,0.28,2.77,39.2,
